voter_age,vote_hour,time_taken_seconds,device_type,failed_login_attempts,is_fraud
69,4,68,1,0,0
32,17,287,1,0,0
89,6,260,0,0,0
78,16,125,0,3,0
38,14,208,0,0,0
92,19,166,2,1,0
92,23,262,0,0,0
41,15,217,2,0,0
20,12,295,0,0,0
39,6,111,0,2,0
70,14,73,2,3,0
19,22,165,1,1,0
47,22,98,0,0,0
55,4,40,0,0,0
19,11,248,0,0,0
81,9,168,0,0,0
77,18,293,0,0,0
38,9,126,2,4,0
50,6,50,0,0,0
93,23,267,1,0,0
75,22,206,0,0,0
39,21,252,0,0,0
66,14,8,0,1,0
76,8,284,0,3,0
59,5,212,1,0,0
77,20,60,0,0,0
32,10,256,1,0,0
79,5,266,2,0,0
79,19,63,0,0,0
64,14,189,2,0,0
79,12,154,1,0,0
68,5,151,1,1,0
72,19,147,1,0,0
81,20,146,0,0,0
20,14,178,1,0,0
68,5,147,0,1,0
24,15,231,3,3,0
38,0,232,1,0,0
90,5,271,1,1,0
56,15,16,3,3,0
35,21,147,0,0,0
21,0,287,1,0,0
77,6,176,0,1,0
31,9,8,0,5,0
26,20,50,1,1,0
70,7,189,0,0,0
19,20,88,0,0,0
77,4,13,0,0,0
88,17,202,0,0,0
61,3,147,1,0,0
25,19,158,1,0,0
64,15,61,0,0,0
52,9,35,0,2,0
53,15,281,3,0,0
67,7,106,0,1,0
21,18,110,0,0,0
19,0,293,1,4,0
23,22,294,1,0,0
71,8,264,3,0,0
21,5,279,2,0,0
71,12,224,0,1,0
80,12,173,1,2,0
35,17,129,0,1,0
61,13,246,1,0,0
51,1,9,1,0,0
91,15,296,0,0,0
79,16,156,1,0,0
31,21,97,0,0,0
65,15,136,1,0,0
32,13,293,0,0,0
89,12,210,0,0,0
79,15,274,0,0,0
57,23,112,0,2,0
70,0,204,1,0,0
41,16,77,1,0,0
43,0,75,0,0,0
77,9,80,0,1,0
58,4,44,0,0,0
46,6,78,0,0,0
32,3,181,1,0,0
62,0,214,1,0,0
82,0,274,2,0,0
88,9,189,1,0,0
26,2,281,1,0,0
18,4,35,0,2,0
25,12,71,3,0,0
80,20,212,0,0,0
28,8,283,0,0,0
25,7,221,0,0,0
52,10,138,0,0,0
52,23,75,0,5,0
50,13,161,0,1,0
22,7,235,0,0,0
58,23,246,1,1,0
45,23,205,1,0,0
24,20,187,0,1,0
90,9,138,1,2,0
89,2,6,0,0,0
29,3,213,1,0,0
51,22,95,1,1,0
50,11,49,0,0,0
